,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pevek,0,RU,1578502413,85,69.7,170.27,-14.75,11.07
1,faya,20,SA,1578502413,82,18.39,42.45,60.8,6.93
2,georgetown,40,GY,1578502152,74,6.8,-58.16,84.2,11.41
3,butaritari,100,KI,1578502413,82,3.07,172.79,83.1,19.62
4,castro,40,CL,1578502414,81,-42.48,-73.76,50.0,12.75
5,zelenoborsk,59,RU,1578502414,94,61.47,64.05,8.22,7.7
6,rikitea,75,PF,1578502414,80,-23.12,-134.97,76.35,22.62
7,constitucion,90,MX,1578502414,52,23.99,-104.67,46.4,3.36
8,camacha,40,PT,1578502414,63,33.08,-16.33,64.4,11.41
9,hobart,10,AU,1578502414,82,-42.88,147.33,57.99,3.36
10,seymchan,76,RU,1578502414,84,62.93,152.39,-28.59,1.19
11,kutum,0,SD,1578502414,25,14.2,24.66,67.03,9.04
12,almaznyy,40,RU,1578502414,94,48.03,40.04,32.0,15.66
13,abu samrah,92,JP,1578502414,77,34.51,131.49,48.0,1.99
14,ambanja,99,MG,1578502414,78,-13.68,48.45,81.52,1.01
15,kapaa,75,US,1578502233,64,22.08,-159.32,75.2,18.34
16,vanimo,100,PG,1578502415,80,-2.67,141.3,79.54,5.48
17,chapais,90,CA,1578502415,85,49.78,-74.86,14.0,11.41
18,puerto ayora,75,AR,1578502415,44,-51.62,-69.23,59.0,17.22
19,faanui,47,PF,1578502415,79,-16.48,-151.75,82.09,23.49
20,labuhan,100,ID,1578502415,93,-2.54,115.51,75.42,1.66
21,saskylakh,99,RU,1578502415,96,71.97,114.09,-3.57,7.74
22,flinders,53,AU,1578502415,100,-34.58,150.85,70.0,5.82
23,mount gambier,40,GB,1578502415,75,53.66,-1.85,46.99,12.75
24,luanda,75,AO,1578502415,69,-8.83,13.24,82.4,6.93
25,puerto el triunfo,75,AR,1578502415,44,-51.62,-69.23,59.0,17.22
26,hilo,90,US,1578502415,54,19.71,-155.08,82.4,11.41
27,mataura,88,NZ,1578502415,81,-46.19,168.86,50.0,13.0
28,victoria,75,BN,1578502340,88,5.28,115.24,78.8,1.12
29,hamilton,75,CA,1578502415,58,43.26,-79.87,28.99,20.8
30,upernavik,100,GL,1578502415,67,72.79,-56.15,-7.78,7.07
31,rio grande,90,US,1578502416,62,41.11,-90.4,21.0,10.29
32,busselton,22,AU,1578502416,53,-33.64,115.35,61.0,10.09
33,hasaki,20,JP,1578502416,100,35.73,140.83,43.0,4.7
34,thompson,75,CA,1578502416,73,55.74,-97.86,-29.2,3.36
35,tiksi,100,RU,1578502416,90,71.64,128.87,-11.69,6.33
36,port elizabeth,95,CD,1578502416,71,-7.03,29.76,78.53,10.29
37,yeppoon,8,AU,1578502416,73,-23.13,150.74,75.2,3.36
38,mys shmidta,100,RU,1578502416,92,62.06,48.62,23.38,12.48
39,westport,75,US,1578502416,74,41.14,-73.36,41.0,13.87
